product_id,category_id,name,description,old_price,price,is_active,image_url,is_new,created_at,updated_at
1,1,"Espresso Nóng","Một tách Espresso nguyên bản được bắt đầu bởi những hạt Arabica chất lượng, phối trộn với tỉ lệ cân đối hạt Robusta, cho ra vị ngọt caramel, vị chua dịu và sánh đặc.",45000.000,45000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/ESPRESSO/EspressoNong.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
2,1,"Espresso Đá","Một tách Espresso nguyên bản được bắt đầu bởi những hạt Arabica chất lượng, phối trộn với tỉ lệ cân đối hạt Robusta, cho ra vị ngọt caramel, vị chua dịu và sánh đặc.",49000.000,49000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/ESPRESSO/EspressoDa.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
3,1,"Cappuccino Đá","Capuchino là thức uống hòa quyện giữa hương thơm của sữa, vị béo của bọt kem cùng vị đậm đà từ cà phê Espresso. Tất cả tạo nên một hương vị đặc biệt, một chút nhẹ nhàng, trầm lắng và tinh tế.",55000.000,55000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/ESPRESSO/CappuccinoDa.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
4,1,"Cappuccino Nóng","Capuchino là thức uống hòa quyện giữa hương thơm của sữa, vị béo của bọt kem cùng vị đậm đà từ cà phê Espresso. Tất cả tạo nên một hương vị đặc biệt, một chút nhẹ nhàng, trầm lắng và tinh tế.",55000.000,55000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/ESPRESSO/CappuccinoNong.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
5,1,"Caramel Macchiato Đá","Khuấy đều trước khi sử dụng Caramel Macchiato sẽ mang đến một sự ngạc nhiên thú vị khi vị thơm béo của bọt sữa, sữa tươi, vị đắng thanh thoát của cà phê Espresso hảo hạng và vị ngọt đậm của sốt caramel được gói gọn trong một tách cà phê.",65000.000,65000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/ESPRESSO/CaramelMacchiatoDa.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
6,1,"Caramel Macchiato Nóng","Caramel Macchiato sẽ mang đến một sự ngạc nhiên thú vị khi vị thơm béo của bọt sữa, sữa tươi, vị đắng thanh thoát của cà phê Espresso hảo hạng và vị ngọt đậm của sốt caramel được gói gọn trong một tách cà phê.",69000.000,69000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/ESPRESSO/CaramelMacchiatoNong.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
7,2,"A-Mê Classic","Thức uống Americano nguyên bản từ 100% Arabica, tươi tỉnh tức thì. Uống là mê!",39000.000,39000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/AMERICANO/AMeClassic.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
8,2,"A-Mê Đào","Mê ly với Americano từ 100% Arabica kết hợp cùng Đào ngọt thanh, dậy vị tươi mát.",49000.000,49000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/AMERICANO/AMeDao.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
9,2,"A-Mê Mơ","Mê say với Americano từ 100% Arabica kết hợp cùng Mơ chua ngọt, tươi mới mỗi ngày. *Khuấy đều để thưởng thức trọn vị",49000.000,49000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/AMERICANO/AMeMo.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
10,2,"A-Mê Thanh Yên","Mê tít với Americano từ 100% Arabica kết hợp cùng Thanh Yên chua dịu, sảng khoái tức thì. *Khuấy đều để thưởng thức trọn vị",49000.000,49000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/AMERICANO/AMeThanhYen.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
11,2,"Americano Nóng","Americano được pha chế bằng cách pha thêm nước với tỷ lệ nhất định vào tách cà phê Espresso, từ đó mang lại hương vị nhẹ nhàng và giữ trọn được mùi hương cà phê đặc trưng.",45000.000,45000.000,1,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/products/AMERICANO/AmericanoNong.png,1,"2025-11-29 02:44:38","2025-11-29 02:44:38"
